customer_id,customer_age,gender,country,acquisition_channel,product_tier,tenure_months,monthly_spend,login_freq_monthly,feature_adoption,support_tickets_6m,nps_score,payment_failures_6m,referrals_made,days_since_login,customer_feedback,clv_12m
CUST0003561,44,Female,CA,Organic Search,Basic,9,14.82,17,0.027,1,7.0,0,0,26,Customer service was polite but couldn't fix my problem on the first try.,150.93
CUST0003937,55,Male,UK,Social Media,Basic,12,28.38,9,0.213,1,8.0,0,1,25,Great product. The new features they added last quarter are excellent.,385.64
CUST0003573,27,Male,US,Paid Ads,Free,1,,12,0.423,1,7.0,1,0,13,Some features are behind a paywall that feels excessive.,1.93
CUST0002050,37,Female,US,Paid Ads,Basic,2,25.07,10,0.519,2,7.0,0,2,1,Decent product for the price... A few bugs here and there...,348.78
CUST0006564,44,Female,US,Social Media,Basic,7,7.25,17,0.383,2,9.0,0,0,6,Decent product for the price. A few bugs here and there.,94.87
CUST0001669,39,Female,UK,Organic Search,Free,7,0.0,10,0.359,1,5.0,1,0,22,Works okay most of the time... Had a couple of outages last month...,13.64
CUST0004034,18,Female,US,Direct,Enterprise,46,378.93,11,0.409,2,8.0,0,0,6,Used it for 46 months now. Hasn't wowed me but gets the job done.,6814.7
CUST0002909,45,Female,IN,Organic Search,Free,8,0.0,13,0.254,0,1.0,0,2,22,The app crashes regularly. Completely unreliable for actual financial work.,5.81
CUST0006958,35,Female,DE,Email Campaign,Basic,5,48.93,14,0.348,2,10.0,0,1,15,Decent product for the price. A few bugs here and there.,646.32
CUST0005114,28,Male,DE,Social Media,Pro,1,,13,0.59,0,6.0,0,0,2,some features are behind a paywall that feels excessive.,709.36
CUST0003862,40,Female,US,Referral,Basic,11,9.78,13,,2,8.0,0,1,12,Average experience. The mobile app needs work.,128.56
CUST0004244,41,Female,DE,Paid Ads,Basic,1,,14,0.529,2,9.0,1,0,4,works okay most of the time. had a couple of outages last month.,475.76
CUST0004797,30,Female,SG,Social Media,Pro,29,113.3,18,0.122,6,9.0,0,0,5,Way too expensive for what you get. Downgrading to the free tier.,1206.31
CUST0001045,51,Male,US,Referral,Enterprise,6,258.08,15,0.354,4,3.0,0,0,22,Frustrated with constant login issues. Starting to look at alternatives.,4916.42
CUST0002186,31,Male,US,Organic Search,Free,31,0.0,11,0.574,1,8.0,0,0,1,the pro plan is worth every penny... roi was clear within weeks...,0.0
CUST0005416,44,Female,US,Social Media,Pro,5,82.66,10,0.684,3,8.0,0,1,9,Three billing errors in six months. Their accounting team is a mess.,1045.47
CUST0006765,28,Male,DE,Organic Search,Pro,7,96.81,8,0.687,3,8.0,1,0,0,Cancelled my subscription last week. Not what I expected.,974.13
CUST0003698,36,Female,FR,Direct,Basic,4,18.62,5,0.075,1,7.0,1,1,4,Some features are behind a paywall that feels excessive.,197.07
CUST0006854,35,Female,CA,Email Campaign,Pro,5,186.48,10,0.256,2,9.0,0,1,5,Average experience. The mobile app needs work.,2403.65
CUST0003343,19,Male,SG,Direct,Free,12,0.0,12,0.272,1,5.0,1,1,3,Not bad. I'd like to see more integrations added.,6.74
CUST0005019,29,Female,DE,Paid Ads,Pro,29,37.01,11,,0,9.0,1,0,1,Super easy to use and the customer support team is always helpful.,398.13
CUST0001473,58,Male,US,Referral,Basic,14,81.05,19,0.355,2,4.0,1,1,6,The app crashes regularly. Completely unreliable for actual financial work.,864.79
CUST0006592,56,Female,UK,Paid Ads,Free,9,0.0,9,0.132,1,8.0,0,2,7,been using this for 9 months and it keeps getting better. highly recommend.,2.94
CUST0004082,45,Male,US,Social Media,Basic,58,28.65,10,0.651,1,8.0,0,0,1,The Pro plan is worth every penny. ROI was clear within weeks.,329.52
CUST0000050,20,Non-Binary,US,Paid Ads,Pro,2,90.91,10,0.331,2,10.0,0,1,18,some features are behind a paywall that feels excessive.,1174.74
CUST0003187,50,Male,UK,Referral,Pro,20,90.89,16,0.572,0,7.0,1,0,1,Some features are behind a paywall that feels excessive...,880.33
CUST0006778,47,Female,BR,Referral,Enterprise,35,368.27,8,0.364,1,8.0,0,1,2,"Honestly the best fintech app I've tried... Clean interface, reliable data...",7196.95
CUST0002607,42,Female,US,Social Media,Pro,26,146.21,8,0.736,0,0.0,1,0,3,Cancelled my subscription last week. Not what I expected.,1396.55
CUST0003049,27,Female,FR,Referral,Free,1,,14,0.256,0,5.0,0,0,4,"It's fine. Does what it says, nothing special.",0.0
CUST0004855,60,Male,AU,Social Media,Free,24,0.0,8,0.473,0,,0,3,7,,17.05
CUST0006961,45,Female,FR,Paid Ads,Basic,8,35.03,14,0.12,0,3.0,0,1,2,not worth the price. the competitor offers more for less.,406.41
CUST0002040,28,Male,UK,Referral,Basic,6,33.14,12,0.385,1,10.0,0,4,12,Renewal was automatic and seamless. Happy to stay on the Pro plan.,576.82
CUST0002446,30,Non-Binary,BR,Direct,Basic,4,46.02,15,,2,4.0,0,1,21,Poor customer service. Was on hold for 45 minutes and no resolution.,565.9
CUST0002525,31,Female,UK,Organic Search,Pro,14,60.54,12,0.278,2,9.0,0,0,8,The basic features work well. The advanced ones feel unfinished.,683.0
CUST0000289,22,Male,US,Social Media,Pro,39,58.26,9,0.781,1,8.0,3,0,0,Love this product. It has completely changed how I manage my finances.,458.78
CUST0005409,38,Female,CA,Referral,Free,9,0.0,8,0.288,6,1.0,0,0,3,Three billing errors in six months. Their accounting team is a mess.,0.0
CUST0002165,32,Male,AU,Organic Search,Basic,5,9.09,7,0.302,1,6.0,0,1,3,Customer service was polite but couldn't fix my problem on the first try.,118.21
CUST0005290,38,Male,IN,Organic Search,Pro,3,138.21,9,0.505,0,10.0,0,0,3,Renewal was automatic and seamless. Happy to stay on the Pro plan.,1626.91
CUST0004514,24,Male,SG,Organic Search,Free,30,0.0,9,0.211,2,1.0,0,3,5,Three billing errors in six months. Their accounting team is a mess.,2.53
CUST0003204,49,Female,US,Referral,Enterprise,15,1201.26,14,0.685,4,7.0,2,0,2,exported my data and moving to a competitor. disappointing experience.,11409.81
CUST0000463,18,Male,BR,Organic Search,Enterprise,16,319.05,14,0.245,2,10.0,0,0,17,Support took a while to respond but eventually resolved my issue.,6047.13
CUST0006593,40,Female,MX,Social Media,Basic,54,6.37,10,0.311,0,7.0,1,2,6,Customer service was polite but couldn't fix my problem on the first try...,60.7
CUST0004386,38,Female,US,Referral,Free,59,0.0,15,0.145,3,10.0,1,0,19,Three billing errors in six months. Their accounting team is a mess.,0.16
CUST0005023,30,Male,US,Referral,Basic,19,7.43,8,0.324,5,0.0,0,2,1,Cancelled my subscription last week. Not what I expected.,75.25
CUST0002528,27,Non-Binary,UK,Organic Search,Enterprise,35,260.31,11,0.257,0,,0,0,2,,5092.55
CUST0005913,18,Male,BR,Email Campaign,Free,23,0.0,10,0.436,1,,0,1,9,,0.0
CUST0003716,38,Male,US,Social Media,ENTERPRISE,39,0.0,11,0.581,0,3.0,0,1,5,Exported my data and moving to a competitor. Disappointing experience.,15.27
CUST0001975,33,Female,AU,Email Campaign,Pro,15,39.13,14,0.233,0,8.0,1,0,0,The Pro plan is worth every penny. ROI was clear within weeks.,398.83
CUST0001183,60,Male,CA,Referral,Free,2,0.0,9,0.27,4,9.0,1,0,34,Frustrated with constant login issues. Starting to look at alternatives.,0.62
CUST0005299,34,Female,US,Organic Search,Free,35,0.0,10,0.234,5,7.0,2,2,9,Exported my data and moving to a competitor. Disappointing experience.,0.13
CUST0003971,42,Female,DE,Email Campaign,Pro,2,67.65,18,0.813,0,8.0,0,0,19,Been using this for 2 months and it keeps getting better. Highly recommend.,799.16
CUST0002369,28,Male,US,Organic Search,Pro,1,,19,0.539,0,2.0,2,1,10,The app crashes regularly. Completely unreliable for actual financial work.,614.69
CUST0000700,46,Male,IN,Paid Ads,Basic,11,14.63,11,0.485,0,6.0,0,1,1,Average experience. The mobile app needs work.,200.0
CUST0006975,27,Female,US,Social Media,Pro,21,92.03,15,0.587,1,6.0,0,0,6,Some features are behind a paywall that feels excessive.,1047.61
CUST0000162,18,Female,US,Social Media,Free,8,0.0,10,0.628,0,10.0,0,1,1,Love this product. It has completely changed how I manage my finances.,0.0
CUST0003259,43,Female,US,Referral,Free,12,0.0,5,0.477,0,7.0,0,1,14,Customer service was polite but couldn't fix my problem on the first try.,0.0
CUST0003986,34,Female,IN,Organic Search,Pro,14,88.44,11,0.545,3,8.0,0,0,4,Poor customer service. Was on hold for 45 minutes and no resolution.,983.47
CUST0002379,29,Male,UK,Referral,Pro,66,38.84,18,0.372,3,10.0,0,0,3,Thinking about cancelling. Too many bugs and support is slow.,416.35
CUST0000167,40,Male,US,Email Campaign,Pro,14,122.2,12,0.331,0,10.0,1,3,8,Switched from a competitor and never looked back. Much better value.,1772.05
CUST0000990,39,Male,CA,Organic Search,Pro,23,182.7,12,0.235,0,8.0,0,1,2,Five stars. Does exactly what it promises and the team listens to feedback.,2277.44
CUST0002835,28,Male,US,Organic Search,Free,13,0.0,14,0.113,0,5.0,0,1,2,Works okay most of the time. Had a couple of outages last month.,0.0
CUST0005833,46,Female,DE,Referral,Free,46,0.0,13,0.578,1,6.0,2,1,1,Support took a while to respond but eventually resolved my issue.,0.0
CUST0004299,26,Female,UK,Social Media,Pro,8,106.12,14,0.409,0,9.0,1,1,10,Love this product. It has completely changed how I manage my finances.,1252.96
CUST0000814,56,Male,MX,Paid Ads,Pro,13,179.12,15,0.389,0,7.0,2,0,16,Customer service was polite but couldn't fix my problem on the first try.,1485.13
CUST0006775,18,Male,US,Paid Ads,Pro,36,57.51,13,0.035,2,10.0,0,0,1,support took a while to respond but eventually resolved my issue.,635.74
CUST0005900,47,Female,DE,Social Media,Free,16,0.0,10,0.767,1,8.0,0,1,13,Super easy to use and the customer support team is always helpful.,0.0
CUST0006357,46,Female,CA,Paid Ads,Free,1,,6,0.344,0,9.0,0,0,2,The Pro plan is worth every penny. ROI was clear within weeks.,0.0
CUST0003952,27,Non-Binary,US,Email Campaign,Pro,17,21.71,12,0.488,6,1.0,0,0,11,Not worth the price. The competitor offers more for less.,195.91
CUST0005318,38,Male,UK,Paid Ads,Free,33,0.0,14,0.325,2,0.0,0,0,12,Way too expensive for what you get. Downgrading to the free tier.,0.0
CUST0005810,20,Male,FR,Social Media,Free,66,0.0,11,0.518,2,8.0,1,3,2,customer service was polite but couldn't fix my problem on the first try.,3.21
CUST0005159,57,Female,DE,Paid Ads,Pro,1,,10,0.181,2,1.0,0,0,22,Cancelled my subscription last week. Not what I expected.,1048.11
CUST0001556,36,Female,MX,Referral,Pro,6,64.38,11,0.394,1,8.0,0,0,0,Switched from a competitor and never looked back. Much better value.,777.92
CUST0000825,41,Male,FR,Paid Ads,Free,12,0.0,15,0.061,2,10.0,0,1,6,Customer service was polite but couldn't fix my problem on the first try.,6.86
CUST0005818,35,Male,CA,Email Campaign,Pro,1,,13,0.344,0,3.0,1,0,2,Had 1 support tickets in the last few months and issues are still open...,909.12
CUST0001620,18,Male,DE,Organic Search,Basic,44,13.85,18,0.573,1,7.0,2,0,7,Not bad. I'd like to see more integrations added.,96.82
CUST0001076,31,Male,US,Social Media,Enterprise,22,237.7,6,0.172,0,4.0,2,0,5,Had 22 support tickets in the last few months and issues are still open...,4182.56
CUST0003358,50,Male,DE,Paid Ads,Pro,17,133.48,13,0.492,0,,0,0,7,,1432.01
CUST0005644,50,Female,AU,Paid Ads,Enterprise,10,586.81,9,0.402,1,6.0,0,0,34,"It's fine. Does what it says, nothing special.",7725.95
CUST0001347,44,Male,US,Referral,Basic,10,21.67,15,0.225,1,8.0,2,0,12,Renewal was automatic and seamless. Happy to stay on the Pro plan.,203.25
CUST0002748,42,Female,UK,Email Campaign,Free,21,0.0,12,0.188,1,9.0,1,0,31,The dashboard is intuitive and the reports save me hours every month.,0.0
CUST0003267,57,Male,US,Email Campaign,Free,12,0.0,15,0.603,0,,0,1,1,,0.04
CUST0006510,30,Male,UK,Organic Search,Basic,6,48.17,16,0.021,5,6.0,0,2,21,Cancelled my subscription last week. Not what I expected.,624.24
CUST0004921,18,Male,US,Organic Search,Free,1,,11,0.441,2,7.0,0,0,6,The basic features work well. The advanced ones feel unfinished.,0.0
CUST0005723,29,Male,SG,Direct,Pro,26,81.17,8,0.837,2,5.0,0,0,4,support took a while to respond but eventually resolved my issue.,922.2
CUST0000635,34,Female,MX,Referral,Pro,12,69.92,9,0.35,2,8.0,0,0,10,Some features are behind a paywall that feels excessive.,816.59
CUST0000686,25,Male,CA,Social Media,Free,19,0.0,13,0.613,1,3.0,0,2,2,Three billing errors in six months... Their accounting team is a mess...,5.72
CUST0004926,21,Male,US,Email Campaign,Free,2,0.0,18,0.12,1,10.0,0,0,22,"Honestly the best fintech app I've tried. Clean interface, reliable data.",6.66
CUST0006001,33,Female,US,Social Media,Pro,1,,11,0.427,2,2.0,0,1,18,Poor customer service. Was on hold for 45 minutes and no resolution.,753.49
CUST0004151,43,Female,UK,Paid Ads,Enterprise,23,889.61,14,0.162,3,9.0,3,0,18,frustrated with constant login issues. starting to look at alternatives.,8122.09
CUST0004652,37,Male,AU,Direct,Enterprise,25,144.33,8,0.276,2,5.0,0,0,0,Support took a while to respond but eventually resolved my issue.,3923.6
CUST0005753,39,Male,IN,Organic Search,Pro,13,69.67,12,0.583,2,8.0,0,3,7,The basic features work well. The advanced ones feel unfinished.,1150.55
CUST0003558,48,Male,DE,Referral,Pro,39,32.88,11,,1,1.0,0,0,1,The app crashes regularly. Completely unreliable for actual financial work.,361.36
CUST0003413,18,Male,SG,Paid Ads,Basic,8,13.68,17,0.129,6,10.0,0,1,13,Thinking about cancelling. Too many bugs and support is slow.,177.87
CUST0005929,38,Male,US,Social Media,Pro,3,98.54,15,0.33,0,7.0,0,0,14,"It's fine. Does what it says, nothing special.",1067.14
CUST0003861,37,Male,BR,Social Media,Basic,1,,14,0.037,0,7.0,0,0,13,Some features are behind a paywall that feels excessive.,245.95
CUST0006289,55,Male,AU,Organic Search,Basic,4,34.41,10,0.203,3,5.0,1,0,1,Cancelled my subscription last week. Not what I expected.,295.51
CUST0003800,28,Female,AU,Direct,pro ,19,151.94,13,0.565,0,6.0,0,1,24,Average experience. The mobile app needs work.,1887.51
CUST0005825,34,Male,UK,Paid Ads,Pro,35,113.5,18,0.309,1,8.0,1,0,1,"Honestly the best fintech app I've tried. Clean interface, reliable data.",1167.47
CUST0001750,48,Male,US,Organic Search,Free,43,0.0,12,0.766,2,6.0,0,0,12,Used it for 43 months now... Hasn't wowed me but gets the job done...,1.43
CUST0001969,32,Male,CA,Organic Search,Free,43,0.0,12,0.276,1,10.0,0,1,3,Super easy to use and the customer support team is always helpful.,9.84
CUST0004983,26,Male,UK,Direct,Basic,28,19.69,11,0.195,4,10.0,0,2,1,Cancelled my subscription last week. Not what I expected.,280.52
CUST0001985,46,Male,US,Organic Search,Pro,2,73.88,14,0.313,0,10.0,0,1,10,The Pro plan is worth every penny... ROI was clear within weeks...,955.47
CUST0005911,37,Male,UK,Paid Ads,Free,13,0.0,7,0.637,5,9.0,0,2,7,Not worth the price. The competitor offers more for less.,0.0
CUST0002863,31,Female,SG,Paid Ads,Basic,51,39.52,6,0.128,3,5.0,0,0,0,Cancelled my subscription last week. Not what I expected.,370.12
CUST0006021,31,Male,CA,Email Campaign,Enterprise,65,1319.11,19,0.344,1,8.0,0,0,1,The Pro plan is worth every penny. ROI was clear within weeks.,17595.75
CUST0006591,49,Male,IN,Paid Ads,Basic,37,28.87,11,0.085,0,8.0,0,0,0,Switched from a competitor and never looked back. Much better value.,337.82
CUST0005627,40,Female,CA,Email Campaign,Pro,13,114.36,11,0.431,3,10.0,0,1,5,Not worth the price. The competitor offers more for less.,1404.46
CUST0005670,33,Male,UK,Paid Ads,Free,15,0.0,8,0.223,0,8.0,0,0,5,Switched from a competitor and never looked back. Much better value.,0.0
CUST0000074,36,Female,AU,Email Campaign,Basic,41,15.7,8,0.138,0,5.0,0,0,6,Works okay most of the time. Had a couple of outages last month.,150.54
CUST0002714,24,Male,US,Paid Ads,Pro,1,,18,0.894,0,0.0,1,0,3,frustrated with constant login issues. starting to look at alternatives.,830.72
CUST0006827,44,Female,IN,Paid Ads,Free,23,0.0,15,0.669,1,7.0,1,0,3,"it's fine. does what it says, nothing special.",0.0
CUST0001429,36,Male,US,Organic Search,Pro,8,117.06,10,0.029,0,8.0,0,0,0,been using this for 8 months and it keeps getting better. highly recommend.,1263.15
CUST0006468,39,Female,SG,Paid Ads,Basic,2,21.33,9,0.558,4,7.0,1,0,29,Cancelled my subscription last week... Not what I expected...,178.17
CUST0005494,49,Male,US,Paid Ads,Pro,1,,13,,3,1.0,1,0,11,three billing errors in six months. their accounting team is a mess.,612.55
CUST0001430,49,Female,CA,Referral,Enterprise,4,612.67,12,0.32,0,4.0,0,0,5,Had 4 support tickets in the last few months and issues are still open.,8763.86
CUST0005977,19,Female,US,Paid Ads,Basic,11,15.73,13,0.205,4,1.0,0,1,10,cancelled my subscription last week. not what i expected.,190.21
CUST0000404,43,Male,US,Direct,Basic,47,54.14,6,0.457,0,0.0,2,0,12,The app crashes regularly. Completely unreliable for actual financial work.,467.38
CUST0003875,26,Female,SG,Organic Search,Basic,26,27.89,10,0.7,2,7.0,0,0,0,The basic features work well. The advanced ones feel unfinished.,306.22
CUST0002979,52,Male,US,Paid Ads,Free,33,0.0,15,0.186,0,8.0,2,1,11,"Honestly the best fintech app I've tried. Clean interface, reliable data.",26.84
CUST0006900,29,Male,SG,Organic Search,Pro,18,89.85,11,0.336,0,10.0,0,0,12,been using this for 18 months and it keeps getting better... highly recommend...,1085.72
CUST0000865,34,Male,DE,Email Campaign,Basic,34,27.73,13,0.118,0,0.0,1,4,1,Exported my data and moving to a competitor. Disappointing experience.,397.97
CUST0000846,18,Male,IN,Organic Search,Free,17,0.0,14,0.261,1,9.0,3,1,3,been using this for 17 months and it keeps getting better. highly recommend.,0.0
CUST0003132,31,Female,US,Referral,pro ,2,23.91,11,0.376,0,8.0,0,0,7,Love this product. It has completely changed how I manage my finances.,265.37
CUST0000257,63,Female,IN,Social Media,Pro,7,205.59,11,0.501,4,5.0,1,0,12,Not worth the price. The competitor offers more for less.,1739.2
CUST0001872,40,Female,FR,Social Media,Pro,10,105.51,12,0.218,0,0.0,0,1,57,Not worth the price. The competitor offers more for less.,1077.13
CUST0005782,36,Female,BR,Referral,Pro,37,67.11,19,0.412,0,5.0,0,1,1,Not bad. I'd like to see more integrations added.,837.45
CUST0002965,24,Male,FR,Referral,Basic,17,23.93,9,0.473,3,0.0,0,0,10,Had 17 support tickets in the last few months and issues are still open.,235.24
CUST0002815,37,Male,US,Referral,Free,19,0.0,9,0.232,1,9.0,0,0,10,the dashboard is intuitive and the reports save me hours every month.,0.1
CUST0006407,25,Female,US,Paid Ads,Basic,9,44.92,6,0.823,6,8.0,0,3,1,poor customer service. was on hold for 45 minutes and no resolution.,733.71
CUST0000644,52,Male,FR,Email Campaign,Basic,12,29.77,15,0.712,2,10.0,0,0,3,Average experience. The mobile app needs work.,362.07
CUST0004533,41,Female,UK,Paid Ads,Enterprise,35,342.32,15,0.496,5,7.0,0,2,6,Thinking about cancelling. Too many bugs and support is slow.,6826.4
CUST0002307,31,Female,UK,Paid Ads,Free,16,0.0,12,0.138,1,6.0,0,0,2,"It's fine... Does what it says, nothing special...",20.31
CUST0000217,29,Female,US,Direct,Basic,84,11.11,8,0.808,2,0.0,0,0,5,Had 84 support tickets in the last few months and issues are still open...,134.2
CUST0001484,31,Male,US,Referral,Basic,6,50.63,16,0.759,0,5.0,0,0,1,Not bad. I'd like to see more integrations added.,560.21
CUST0005296,47,Female,MX,Referral,enterprise,23,0.0,12,0.335,0,2.0,1,1,1,Cancelled my subscription last week. Not what I expected.,0.0
CUST0004423,18,Female,IN,Organic Search,Enterprise,15,214.66,16,0.5,1,9.0,0,0,5,Great product. The new features they added last quarter are excellent.,4929.75
